11/29/2016	10:29:39	35	51	65	70						
11/29/2016	10:29:39	35	51	64	70						
11/29/2016	10:29:39	34	51	63	70						
11/29/2016	10:29:43	36	51	64	70						
11/29/2016	10:29:44	36	51	63	70						
11/29/2016	10:29:45	36	51	63	70			PMS5003數據	pm1	pm2.5	pm10
11/29/2016	10:29:46	36	50	62	68		30分鐘	10:29-11:00	34	51	67
11/29/2016	10:29:47	36	52	66	71		1小時	11:00 -11:59	28	41	54
11/29/2016	10:29:48	36	52	65	71		6分鐘	12:00-12:06	30	43	56
11/29/2016	10:29:49	35	53	70	72			測站數據			
11/29/2016	10:29:50	37	51	70	70			10:00-11:00		58	92
11/29/2016	10:29:51	37	53	73	72			11:00-11:59		45	71
11/29/2016	10:29:52	37	54	74	73			12:00-13:00		36	61
11/29/2016	10:29:53	37	55	74	75						
11/29/2016	10:29:54	37	55	74	75						
11/29/2016	10:29:55	37	52	71	71						
11/29/2016	10:29:57	35	51	66	70						
11/29/2016	10:29:58	35	51	65	70						
11/29/2016	10:29:59	35	51	65	70						
11/29/2016	10:30:00	35	51	65	70						
11/29/2016	10:30:01	35	51	65	70						
11/29/2016	10:30:02	36	53	66	72						
11/29/2016	10:30:04	33	50	60	68						
11/29/2016	10:30:05	33	50	60	68						
11/29/2016	10:30:06	33	50	60	68						
11/29/2016	10:30:07	33	50	61	68						
11/29/2016	10:30:08	33	50	62	68						
11/29/2016	10:30:09	32	50	65	68						
11/29/2016	10:30:10	31	46	58	63						
11/29/2016	10:30:11	29	45	58	62						
11/29/2016	10:30:12	29	44	57	61						
11/29/2016	10:30:13	29	44	57	61						
11/29/2016	10:30:14	29	43	57	60						
11/29/2016	10:30:15	30	45	58	62						
11/29/2016	10:30:16	29	42	57	58						
11/29/2016	10:30:18	31	44	58	61						
11/29/2016	10:30:19	31	45	58	62						
11/29/2016	10:30:20	32	46	60	63						
11/29/2016	10:30:21	32	46	62	63						
11/29/2016	10:30:22	35	50	66	68						
11/29/2016	10:30:23	36	52	68	71						
11/29/2016	10:30:24	36	51	68	70						
11/29/2016	10:30:25	37	52	67	71						
11/29/2016	10:30:26	35	49	66	67						
11/29/2016	10:30:27	35	49	64	67						
11/29/2016	10:30:28	35	49	63	67						
